admin_add_venue_owner: anon:ALL, authenticated:ALL, service_role:ALL
admin_clear_moderation_status: anon:ALL, authenticated:ALL, service_role:ALL
admin_create_venue_event: anon:ALL, authenticated:ALL, service_role:ALL
admin_create_venue_opening_hour: anon:ALL, authenticated:ALL, service_role:ALL
admin_create_venue_pricing_tier: anon:ALL, authenticated:ALL, service_role:ALL
admin_delete_account: anon:ALL, authenticated:ALL, service_role:ALL
admin_delete_catch: anon:ALL, authenticated:ALL, service_role:ALL
admin_delete_comment: anon:ALL, authenticated:ALL, service_role:ALL
admin_delete_venue_event: anon:ALL, authenticated:ALL, service_role:ALL
admin_delete_venue_opening_hour: anon:ALL, authenticated:ALL, service_role:ALL
admin_delete_venue_pricing_tier: anon:ALL, authenticated:ALL, service_role:ALL
admin_get_venue_events: anon:ALL, authenticated:ALL, service_role:ALL
admin_list_moderation_log: anon:ALL, authenticated:ALL, service_role:ALL
admin_list_reports: anon:ALL, authenticated:ALL, service_role:ALL
admin_remove_venue_owner: anon:ALL, authenticated:ALL, service_role:ALL
admin_restore_catch: anon:ALL, authenticated:ALL, service_role:ALL
admin_restore_comment: anon:ALL, authenticated:ALL, service_role:ALL
admin_update_report_status: anon:ALL, authenticated:ALL, service_role:ALL
admin_update_venue_booking: anon:ALL, authenticated:ALL, service_role:ALL
admin_update_venue_event: anon:ALL, authenticated:ALL, service_role:ALL
admin_update_venue_metadata: anon:ALL, authenticated:ALL, service_role:ALL
admin_update_venue_opening_hour: anon:ALL, authenticated:ALL, service_role:ALL
admin_update_venue_pricing_tier: anon:ALL, authenticated:ALL, service_role:ALL
admin_update_venue_rules: anon:ALL, authenticated:ALL, service_role:ALL
admin_warn_user: anon:ALL, authenticated:ALL, service_role:ALL
assert_moderation_allowed: anon:ALL, authenticated:ALL, service_role:ALL
block_profile: anon:ALL, authenticated:ALL, service_role:ALL
check_email_exists: anon:ALL, authenticated:ALL, service_role:ALL
check_rate_limit: anon:ALL, authenticated:ALL, service_role:ALL
cleanup_rate_limits: anon:ALL, authenticated:ALL, service_role:ALL
create_comment_with_rate_limit: anon:ALL, authenticated:ALL, service_role:ALL
create_notification: anon:ALL, authenticated:ALL, service_role:ALL
create_report_with_rate_limit: anon:ALL, authenticated:ALL, service_role:ALL
enforce_catch_moderation: anon:ALL, authenticated:ALL, service_role:ALL
enforce_catch_rate_limit: anon:ALL, authenticated:ALL, service_role:ALL
enforce_comment_rate_limit: anon:ALL, authenticated:ALL, service_role:ALL
enforce_report_rate_limit: anon:ALL, authenticated:ALL, service_role:ALL
follow_profile_with_rate_limit: anon:ALL, authenticated:ALL, service_role:ALL
get_catch_rating_summary: anon:ALL, authenticated:ALL, service_role:ALL
get_follower_count: anon:ALL, authenticated:ALL, service_role:ALL
get_my_venue_rating: anon:ALL, authenticated:ALL, service_role:ALL
get_rate_limit_status: anon:ALL, authenticated:ALL, service_role:ALL
get_venue_by_slug: anon:ALL, authenticated:ALL, service_role:ALL
get_venue_past_events: anon:ALL, authenticated:ALL, service_role:ALL
get_venue_photos: anon:ALL, authenticated:ALL, service_role:ALL
get_venue_recent_catches: anon:ALL, authenticated:ALL, service_role:ALL
get_venue_top_anglers: anon:ALL, authenticated:ALL, service_role:ALL
get_venue_top_catches: anon:ALL, authenticated:ALL, service_role:ALL
get_venue_upcoming_events: anon:ALL, authenticated:ALL, service_role:ALL
get_venues: anon:ALL, authenticated:ALL, service_role:ALL
handle_new_user: anon:ALL, authenticated:ALL, service_role:ALL
is_admin: anon:ALL, authenticated:ALL, service_role:ALL
is_blocked_either_way: anon:ALL, authenticated:ALL, service_role:ALL
is_following: anon:ALL, authenticated:ALL, service_role:ALL
is_venue_admin_or_owner: anon:ALL, authenticated:ALL, service_role:ALL
owner_add_venue_photo: anon:ALL, authenticated:ALL, service_role:ALL
owner_create_venue_event: anon:ALL, authenticated:ALL, service_role:ALL
owner_create_venue_opening_hour: anon:ALL, authenticated:ALL, service_role:ALL
owner_create_venue_pricing_tier: anon:ALL, authenticated:ALL, service_role:ALL
owner_delete_venue_event: anon:ALL, authenticated:ALL, service_role:ALL
owner_delete_venue_opening_hour: anon:ALL, authenticated:ALL, service_role:ALL
owner_delete_venue_photo: anon:ALL, authenticated:ALL, service_role:ALL
owner_delete_venue_pricing_tier: anon:ALL, authenticated:ALL, service_role:ALL
owner_get_venue_events: anon:ALL, authenticated:ALL, service_role:ALL
owner_update_venue_booking: anon:ALL, authenticated:ALL, service_role:ALL
owner_update_venue_event: anon:ALL, authenticated:ALL, service_role:ALL
owner_update_venue_metadata: anon:ALL, authenticated:ALL, service_role:ALL
owner_update_venue_opening_hour: anon:ALL, authenticated:ALL, service_role:ALL
owner_update_venue_pricing_tier: anon:ALL, authenticated:ALL, service_role:ALL
owner_update_venue_rules: anon:ALL, authenticated:ALL, service_role:ALL
rate_catch_with_rate_limit: anon:ALL, authenticated:ALL, service_role:ALL
react_to_catch_with_rate_limit: anon:ALL, authenticated:ALL, service_role:ALL
request_account_deletion: anon:ALL, authenticated:ALL, service_role:ALL
request_account_export: anon:ALL, authenticated:ALL, service_role:ALL
set_updated_at: anon:ALL, authenticated:ALL, service_role:ALL
soft_delete_comment: anon:ALL, authenticated:ALL, service_role:ALL
unblock_profile: anon:ALL, authenticated:ALL, service_role:ALL
upsert_venue_rating: anon:ALL, authenticated:ALL, service_role:ALL
user_rate_limits: anon:ALL, authenticated:ALL, service_role:ALL
