admin_users: anon:ALL, authenticated:ALL, service_role:ALL
baits: anon:ALL, authenticated:ALL, service_role:ALL
catch_comments: anon:ALL, authenticated:ALL, service_role:ALL
catch_comments_with_admin: authenticated:SELECT, service_role:ALL
catch_mention_candidates: authenticated:SELECT, service_role:ALL
catch_reactions: anon:ALL, authenticated:ALL, service_role:ALL
catches: anon:ALL, authenticated:ALL, service_role:ALL
leaderboard_scores_detailed: anon:ALL, authenticated:ALL, service_role:ALL
moderation_log: anon:ALL, authenticated:ALL, service_role:ALL
notifications: anon:ALL, authenticated:ALL, service_role:ALL
profile_blocks: anon:ALL, authenticated:ALL, service_role:ALL
profile_follows: anon:ALL, authenticated:ALL, service_role:ALL
profiles: anon:ALL, authenticated:ALL, service_role:ALL
rate_limits: anon:ALL, authenticated:ALL, service_role:ALL
ratings: anon:ALL, authenticated:ALL, service_role:ALL
reports: anon:ALL, authenticated:ALL, service_role:ALL
sessions: anon:ALL, authenticated:ALL, service_role:ALL
tags: anon:ALL, authenticated:ALL, service_role:ALL
user_warnings: anon:ALL, authenticated:ALL, service_role:ALL
venue_events: anon:ALL, authenticated:ALL, service_role:ALL
venue_opening_hours: anon:ALL, authenticated:ALL, service_role:ALL
venue_owners: anon:ALL, authenticated:ALL, service_role:ALL
venue_photos: anon:ALL, authenticated:ALL, service_role:ALL
venue_pricing_tiers: anon:ALL, authenticated:ALL, service_role:ALL
venue_ratings: anon:ALL, authenticated:ALL, service_role:ALL
venue_rules: anon:ALL, authenticated:ALL, service_role:ALL
venue_stats: anon:ALL, authenticated:ALL, service_role:ALL
venues: anon:ALL, authenticated:ALL, service_role:ALL
water_types: anon:ALL, authenticated:ALL, service_role:ALL
