object_type,schema_name,object_name,grantee,privilege_type,is_grantable
schema,auth,null,anon,USAGE,false
schema,auth,null,authenticated,USAGE,false
schema,auth,null,service_role,USAGE,false
column,extensions,pg_stat_statements.calls,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.dbid,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.jit_deform_count,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.jit_deform_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.jit_emission_count,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.jit_emission_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.jit_functions,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.jit_generation_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.jit_inlining_count,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.jit_inlining_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.jit_optimization_count,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.jit_optimization_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.local_blk_read_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.local_blk_write_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.local_blks_dirtied,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.local_blks_hit,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.local_blks_read,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.local_blks_written,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.max_exec_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.max_plan_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.mean_exec_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.mean_plan_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.min_exec_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.min_plan_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.minmax_stats_since,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.plans,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.query,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.queryid,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.rows,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.shared_blk_read_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.shared_blk_write_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.shared_blks_dirtied,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.shared_blks_hit,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.shared_blks_read,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.shared_blks_written,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.stats_since,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.stddev_exec_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.stddev_plan_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.temp_blk_read_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.temp_blk_write_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.temp_blks_read,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.temp_blks_written,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.toplevel,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.total_exec_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.total_plan_time,PUBLIC,SELECT,NO
column,extensions,pg_stat_statements.userid,PUBLIC,SELECT,NO
