object_type,schema_name,object_name,grantee,privilege_type,is_grantable
column,realtime,messages.event,anon,INSERT,NO
column,realtime,messages.event,anon,UPDATE,NO
column,realtime,messages.event,authenticated,INSERT,NO
column,realtime,messages.event,authenticated,UPDATE,NO
column,realtime,messages.extension,anon,INSERT,NO
column,realtime,messages.extension,anon,UPDATE,NO
column,realtime,messages.extension,authenticated,INSERT,NO
column,realtime,messages.extension,authenticated,UPDATE,NO
column,realtime,messages.id,anon,INSERT,NO
column,realtime,messages.id,anon,UPDATE,NO
column,realtime,messages.id,authenticated,INSERT,NO
column,realtime,messages.id,authenticated,UPDATE,NO
column,realtime,messages.inserted_at,anon,INSERT,NO
column,realtime,messages.inserted_at,anon,UPDATE,NO
column,realtime,messages.inserted_at,authenticated,INSERT,NO
column,realtime,messages.inserted_at,authenticated,UPDATE,NO
column,realtime,messages.payload,anon,INSERT,NO
column,realtime,messages.payload,anon,UPDATE,NO
column,realtime,messages.payload,authenticated,INSERT,NO
column,realtime,messages.payload,authenticated,UPDATE,NO
column,realtime,messages.private,anon,INSERT,NO
column,realtime,messages.private,anon,UPDATE,NO
column,realtime,messages.private,authenticated,INSERT,NO
column,realtime,messages.private,authenticated,UPDATE,NO
column,realtime,messages.topic,anon,INSERT,NO
column,realtime,messages.topic,anon,UPDATE,NO
column,realtime,messages.topic,authenticated,INSERT,NO
column,realtime,messages.topic,authenticated,UPDATE,NO
column,realtime,messages.updated_at,anon,INSERT,NO
column,realtime,messages.updated_at,anon,UPDATE,NO
column,realtime,messages.updated_at,authenticated,INSERT,NO
column,realtime,messages.updated_at,authenticated,UPDATE,NO
column,storage,buckets.allowed_mime_types,anon,INSERT,NO
column,storage,buckets.allowed_mime_types,anon,REFERENCES,NO
column,storage,buckets.allowed_mime_types,anon,UPDATE,NO
column,storage,buckets.allowed_mime_types,authenticated,INSERT,NO
column,storage,buckets.allowed_mime_types,authenticated,REFERENCES,NO
column,storage,buckets.allowed_mime_types,authenticated,UPDATE,NO
column,storage,buckets.avif_autodetection,anon,INSERT,NO
column,storage,buckets.avif_autodetection,anon,REFERENCES,NO
column,storage,buckets.avif_autodetection,anon,UPDATE,NO
column,storage,buckets.avif_autodetection,authenticated,INSERT,NO
column,storage,buckets.avif_autodetection,authenticated,REFERENCES,NO
column,storage,buckets.avif_autodetection,authenticated,UPDATE,NO
column,storage,buckets.created_at,anon,INSERT,NO
column,storage,buckets.created_at,anon,REFERENCES,NO
column,storage,buckets.created_at,anon,UPDATE,NO
column,storage,buckets.created_at,authenticated,INSERT,NO
column,storage,buckets.created_at,authenticated,REFERENCES,NO
column,storage,buckets.created_at,authenticated,UPDATE,NO
column,storage,buckets.file_size_limit,anon,INSERT,NO
column,storage,buckets.file_size_limit,anon,REFERENCES,NO
column,storage,buckets.file_size_limit,anon,UPDATE,NO
column,storage,buckets.file_size_limit,authenticated,INSERT,NO
column,storage,buckets.file_size_limit,authenticated,REFERENCES,NO
column,storage,buckets.file_size_limit,authenticated,UPDATE,NO
column,storage,buckets.id,anon,INSERT,NO
column,storage,buckets.id,anon,REFERENCES,NO
column,storage,buckets.id,anon,UPDATE,NO
column,storage,buckets.id,authenticated,INSERT,NO
column,storage,buckets.id,authenticated,REFERENCES,NO
column,storage,buckets.id,authenticated,UPDATE,NO
column,storage,buckets.name,anon,INSERT,NO
column,storage,buckets.name,anon,REFERENCES,NO
column,storage,buckets.name,anon,UPDATE,NO
column,storage,buckets.name,authenticated,INSERT,NO
column,storage,buckets.name,authenticated,REFERENCES,NO
column,storage,buckets.name,authenticated,UPDATE,NO
column,storage,buckets.owner,anon,INSERT,NO
column,storage,buckets.owner,anon,REFERENCES,NO
column,storage,buckets.owner,anon,UPDATE,NO
column,storage,buckets.owner,authenticated,INSERT,NO
column,storage,buckets.owner,authenticated,REFERENCES,NO
column,storage,buckets.owner,authenticated,UPDATE,NO
column,storage,buckets.owner_id,anon,INSERT,NO
column,storage,buckets.owner_id,anon,REFERENCES,NO
column,storage,buckets.owner_id,anon,UPDATE,NO
column,storage,buckets.owner_id,authenticated,INSERT,NO
column,storage,buckets.owner_id,authenticated,REFERENCES,NO
column,storage,buckets.owner_id,authenticated,UPDATE,NO
column,storage,buckets.public,anon,INSERT,NO
column,storage,buckets.public,anon,REFERENCES,NO
column,storage,buckets.public,anon,UPDATE,NO
column,storage,buckets.public,authenticated,INSERT,NO
column,storage,buckets.public,authenticated,REFERENCES,NO
column,storage,buckets.public,authenticated,UPDATE,NO
column,storage,buckets.type,anon,INSERT,NO
column,storage,buckets.type,anon,REFERENCES,NO
