object_type,schema_name,object_name,grantee,privilege_type,is_grantable
column,public,baits.category,anon,INSERT,NO
column,public,baits.category,anon,UPDATE,NO
column,public,baits.category,authenticated,INSERT,NO
column,public,baits.category,authenticated,UPDATE,NO
column,public,baits.created_at,anon,INSERT,NO
column,public,baits.created_at,anon,UPDATE,NO
column,public,baits.created_at,authenticated,INSERT,NO
column,public,baits.created_at,authenticated,UPDATE,NO
column,public,baits.label,anon,INSERT,NO
column,public,baits.label,anon,UPDATE,NO
column,public,baits.label,authenticated,INSERT,NO
column,public,baits.label,authenticated,UPDATE,NO
column,public,baits.slug,anon,INSERT,NO
column,public,baits.slug,anon,UPDATE,NO
column,public,baits.slug,authenticated,INSERT,NO
column,public,baits.slug,authenticated,UPDATE,NO
column,public,catch_comments.body,anon,INSERT,NO
column,public,catch_comments.body,anon,UPDATE,NO
column,public,catch_comments.body,authenticated,INSERT,NO
column,public,catch_comments.body,authenticated,UPDATE,NO
column,public,catch_comments.catch_id,anon,INSERT,NO
column,public,catch_comments.catch_id,anon,UPDATE,NO
column,public,catch_comments.catch_id,authenticated,INSERT,NO
column,public,catch_comments.catch_id,authenticated,UPDATE,NO
column,public,catch_comments.created_at,anon,INSERT,NO
column,public,catch_comments.created_at,anon,UPDATE,NO
column,public,catch_comments.created_at,authenticated,INSERT,NO
column,public,catch_comments.created_at,authenticated,UPDATE,NO
column,public,catch_comments.deleted_at,anon,INSERT,NO
column,public,catch_comments.deleted_at,anon,UPDATE,NO
column,public,catch_comments.deleted_at,authenticated,INSERT,NO
column,public,catch_comments.deleted_at,authenticated,UPDATE,NO
column,public,catch_comments.id,anon,INSERT,NO
column,public,catch_comments.id,anon,UPDATE,NO
column,public,catch_comments.id,authenticated,INSERT,NO
column,public,catch_comments.id,authenticated,UPDATE,NO
column,public,catch_comments.is_admin_author,anon,INSERT,NO
column,public,catch_comments.is_admin_author,anon,UPDATE,NO
column,public,catch_comments.is_admin_author,authenticated,INSERT,NO
column,public,catch_comments.is_admin_author,authenticated,UPDATE,NO
column,public,catch_comments.parent_comment_id,anon,INSERT,NO
column,public,catch_comments.parent_comment_id,anon,UPDATE,NO
column,public,catch_comments.parent_comment_id,authenticated,INSERT,NO
column,public,catch_comments.parent_comment_id,authenticated,UPDATE,NO
column,public,catch_comments.updated_at,anon,INSERT,NO
column,public,catch_comments.updated_at,anon,UPDATE,NO
column,public,catch_comments.updated_at,authenticated,INSERT,NO
column,public,catch_comments.updated_at,authenticated,UPDATE,NO
column,public,catch_comments.user_id,anon,INSERT,NO
column,public,catch_comments.user_id,anon,UPDATE,NO
column,public,catch_comments.user_id,authenticated,INSERT,NO
column,public,catch_comments.user_id,authenticated,UPDATE,NO
column,public,catch_leaderboard_scores.catch_id,anon,INSERT,NO
column,public,catch_leaderboard_scores.catch_id,anon,UPDATE,NO
column,public,catch_leaderboard_scores.catch_id,authenticated,INSERT,NO
