object_type,schema_name,object_name,grantee,privilege_type,is_grantable
column,public,baits.category,anon,INSERT,NO
column,public,baits.category,anon,UPDATE,NO
column,public,baits.created_at,anon,INSERT,NO
column,public,baits.created_at,anon,UPDATE,NO
column,public,baits.label,anon,INSERT,NO
column,public,baits.label,anon,UPDATE,NO
column,public,baits.slug,anon,INSERT,NO
column,public,baits.slug,anon,UPDATE,NO
column,public,catch_comments.body,anon,INSERT,NO
column,public,catch_comments.body,anon,UPDATE,NO
column,public,catch_comments.catch_id,anon,INSERT,NO
column,public,catch_comments.catch_id,anon,UPDATE,NO
column,public,catch_comments.created_at,anon,INSERT,NO
column,public,catch_comments.created_at,anon,UPDATE,NO
column,public,catch_comments.deleted_at,anon,INSERT,NO
column,public,catch_comments.deleted_at,anon,UPDATE,NO
column,public,catch_comments.id,anon,INSERT,NO
column,public,catch_comments.id,anon,UPDATE,NO
column,public,catch_comments.is_admin_author,anon,INSERT,NO
column,public,catch_comments.is_admin_author,anon,UPDATE,NO
column,public,catch_comments.parent_comment_id,anon,INSERT,NO
column,public,catch_comments.parent_comment_id,anon,UPDATE,NO
column,public,catch_comments.updated_at,anon,INSERT,NO
column,public,catch_comments.updated_at,anon,UPDATE,NO
column,public,catch_comments.user_id,anon,INSERT,NO
column,public,catch_comments.user_id,anon,UPDATE,NO
column,public,catch_leaderboard_scores.catch_id,anon,INSERT,NO
column,public,catch_leaderboard_scores.catch_id,anon,UPDATE,NO
column,public,catch_leaderboard_scores.catch_id,authenticated,INSERT,NO
column,public,catch_leaderboard_scores.catch_id,authenticated,UPDATE,NO
column,public,catch_leaderboard_scores.created_at,anon,INSERT,NO
column,public,catch_leaderboard_scores.created_at,anon,UPDATE,NO
column,public,catch_leaderboard_scores.created_at,authenticated,INSERT,NO
column,public,catch_leaderboard_scores.created_at,authenticated,UPDATE,NO
column,public,catch_leaderboard_scores.species_key,anon,INSERT,NO
column,public,catch_leaderboard_scores.species_key,anon,UPDATE,NO
column,public,catch_leaderboard_scores.species_key,authenticated,INSERT,NO
column,public,catch_leaderboard_scores.species_key,authenticated,UPDATE,NO
column,public,catch_leaderboard_scores.total_score,anon,INSERT,NO
column,public,catch_leaderboard_scores.total_score,anon,UPDATE,NO
column,public,catch_leaderboard_scores.total_score,authenticated,INSERT,NO
column,public,catch_leaderboard_scores.total_score,authenticated,UPDATE,NO
column,public,catch_leaderboard_scores.updated_at,anon,INSERT,NO
column,public,catch_leaderboard_scores.updated_at,anon,UPDATE,NO
column,public,catch_leaderboard_scores.updated_at,authenticated,INSERT,NO
column,public,catch_leaderboard_scores.updated_at,authenticated,UPDATE,NO
column,public,catch_rating_stats.catch_id,anon,INSERT,NO
column,public,catch_rating_stats.catch_id,anon,UPDATE,NO
column,public,catch_rating_stats.catch_id,authenticated,INSERT,NO
column,public,catch_rating_stats.catch_id,authenticated,UPDATE,NO
column,public,catch_rating_stats.rating_count,anon,INSERT,NO
