schemaname,relname,relkind,owner,relrowsecurity,relforcerowsecurity,policy_count
public,admin_users,r,postgres,true,false,1
public,admin_users_pkey,i,postgres,false,false,0
public,baits,r,postgres,true,false,1
public,baits_pkey,i,postgres,false,false,0
public,catch_comments,r,postgres,true,false,6
public,catch_comments_pkey,i,postgres,false,false,0
public,catch_comments_with_admin,v,postgres,false,false,0
public,catch_leaderboard_scores,r,postgres,false,false,0
public,catch_leaderboard_scores_pkey,i,postgres,false,false,0
public,catch_mention_candidates,v,postgres,false,false,0
public,catch_rating_stats,r,postgres,false,false,0
public,catch_rating_stats_pkey,i,postgres,false,false,0
public,catch_reactions,r,postgres,true,false,4
public,catch_reactions_pkey,i,postgres,false,false,0
public,catches,r,postgres,true,false,5
public,catches_pkey,i,postgres,false,false,0
public,community_stats_live,r,postgres,true,true,0
public,community_stats_live_pkey,i,postgres,false,false,0
public,community_stats_users,r,postgres,true,true,0
public,community_stats_users_pkey,i,postgres,false,false,0
public,community_stats_waterways,r,postgres,true,true,0
public,community_stats_waterways_pkey,i,postgres,false,false,0
public,idx_catch_comments_catch_id,i,postgres,false,false,0
public,idx_catch_comments_catch_parent_created,i,postgres,false,false,0
public,idx_catch_comments_user_id,i,postgres,false,false,0
public,idx_catch_leaderboard_scores_ordering,i,postgres,false,false,0
public,idx_catch_leaderboard_scores_species_ordering,i,postgres,false,false,0
public,idx_catches_created_deleted_visibility,i,postgres,false,false,0
public,idx_catches_public_visible_created_id,i,postgres,false,false,0
public,idx_catches_session_id,i,postgres,false,false,0
public,idx_catches_species_coalesce,i,postgres,false,false,0
public,idx_catches_user_id,i,postgres,false,false,0
public,idx_catches_venue_created_at,i,postgres,false,false,0
public,idx_catches_venue_weight,i,postgres,false,false,0
public,idx_moderation_log_action_created,i,postgres,false,false,0
public,idx_notifications_user_created,i,postgres,false,false,0
public,idx_profile_blocks_blocked_id,i,postgres,false,false,0
public,idx_profile_blocks_blocker_id,i,postgres,false,false,0
public,idx_profiles_deleted_at,i,postgres,false,false,0
public,idx_profiles_is_deleted,i,postgres,false,false,0
public,idx_profiles_is_private,i,postgres,false,false,0
public,idx_profiles_username,i,postgres,false,false,0
public,idx_rate_limits_user_action_created,i,postgres,false,false,0
public,idx_ratings_catch_id,i,postgres,false,false,0
public,idx_reports_status_created,i,postgres,false,false,0
public,idx_reports_target,i,postgres,false,false,0
public,idx_sessions_user_date,i,postgres,false,false,0
public,idx_venue_events_starts_at,i,postgres,false,false,0
public,idx_venue_events_venue_starts_at,i,postgres,false,false,0
public,idx_venue_opening_hours_venue_order,i,postgres,false,false,0
public,idx_venue_owners_user_id,i,postgres,false,false,0
public,idx_venue_owners_venue_id,i,postgres,false,false,0
public,idx_venue_photos_venue_primary_created,i,postgres,false,false,0
public,idx_venue_pricing_tiers_venue_order,i,postgres,false,false,0
public,idx_venue_species_stock_venue_created,i,postgres,false,false,0
public,idx_venues_is_published,i,postgres,false,false,0
public,idx_venues_name,i,postgres,false,false,0
public,idx_venues_slug,i,postgres,false,false,0
public,leaderboard_scores_detailed,v,postgres,false,false,0
public,moderation_log,r,postgres,true,false,1
public,moderation_log_pkey,i,postgres,false,false,0
public,notifications,r,postgres,true,false,2
public,notifications_pkey,i,postgres,false,false,0
public,profile_blocks,r,postgres,true,true,6
public,profile_blocks_pkey,i,postgres,false,false,0
public,profile_follows,r,postgres,true,false,4
public,profile_follows_pkey,i,postgres,false,false,0
public,profiles,r,postgres,true,false,2
public,profiles_pkey,i,postgres,false,false,0
public,profiles_username_key,i,postgres,false,false,0
public,rate_limits,r,postgres,true,false,2
public,rate_limits_id_seq,S,postgres,false,false,0
public,rate_limits_pkey,i,postgres,false,false,0
public,ratings,r,postgres,true,false,4
public,ratings_pkey,i,postgres,false,false,0
public,reports,r,postgres,true,false,2
public,reports_pkey,i,postgres,false,false,0
public,sessions,r,postgres,true,false,2
public,sessions_pkey,i,postgres,false,false,0
public,species,r,postgres,true,true,1
public,species_pkey,i,postgres,false,false,0
public,tags,r,postgres,true,false,1
public,tags_pkey,i,postgres,false,false,0
public,uq_catch_reactions_user_catch,i,postgres,false,false,0
public,uq_notifications_like_follow_once,i,postgres,false,false,0
public,uq_profile_follows_pair,i,postgres,false,false,0
public,uq_ratings_user_catch,i,postgres,false,false,0
public,user_warnings,r,postgres,true,false,1
public,user_warnings_pkey,i,postgres,false,false,0
public,venue_events,r,postgres,true,false,1
public,venue_events_pkey,i,postgres,false,false,0
public,venue_opening_hours,r,postgres,true,false,4
public,venue_opening_hours_pkey,i,postgres,false,false,0
public,venue_owners,r,postgres,true,false,2
public,venue_owners_pkey,i,postgres,false,false,0
public,venue_photos,r,postgres,true,false,4
public,venue_photos_pkey,i,postgres,false,false,0
public,venue_photos_primary_unique,i,postgres,false,false,0
public,venue_pricing_tiers,r,postgres,true,false,4
public,venue_pricing_tiers_pkey,i,postgres,false,false,0
public,venue_ratings,r,postgres,true,false,5
public,venue_ratings_pkey,i,postgres,false,false,0
public,venue_ratings_user_venue_idx,i,postgres,false,false,0
public,venue_ratings_venue_id_idx,i,postgres,false,false,0
public,venue_ratings_venue_id_user_id_key,i,postgres,false,false,0
public,venue_rules,r,postgres,true,false,4
public,venue_rules_pkey,i,postgres,false,false,0
public,venue_species_stock,r,postgres,true,false,4
public,venue_species_stock_pkey,i,postgres,false,false,0
public,venue_stats,v,postgres,false,false,0
public,venue_stats_public,v,postgres,false,false,0
public,venues,r,postgres,true,true,6
public,venues_pkey,i,postgres,false,false,0
public,venues_slug_key,i,postgres,false,false,0
public,water_types,r,postgres,true,false,1
public,water_types_pkey,i,postgres,false,false,0
storage,bname,i,supabase_storage_admin,false,false,0
storage,bucketid_objname,i,supabase_storage_admin,false,false,0
storage,buckets,r,supabase_storage_admin,true,false,0
storage,buckets_analytics,r,supabase_storage_admin,true,false,0
storage,buckets_analytics_pkey,i,supabase_storage_admin,false,false,0
storage,buckets_analytics_unique_name_idx,i,supabase_storage_admin,false,false,0
storage,buckets_pkey,i,supabase_storage_admin,false,false,0
storage,buckets_vectors,r,supabase_storage_admin,true,false,0
storage,buckets_vectors_pkey,i,supabase_storage_admin,false,false,0
storage,iceberg_namespaces,r,supabase_storage_admin,true,false,0
storage,iceberg_namespaces_pkey,i,supabase_storage_admin,false,false,0
storage,iceberg_tables,r,supabase_storage_admin,true,false,0
storage,iceberg_tables_pkey,i,supabase_storage_admin,false,false,0
storage,idx_iceberg_namespaces_bucket_id,i,supabase_storage_admin,false,false,0
storage,idx_iceberg_tables_location,i,supabase_storage_admin,false,false,0
storage,idx_iceberg_tables_namespace_id,i,supabase_storage_admin,false,false,0
storage,idx_multipart_uploads_list,i,supabase_storage_admin,false,false,0
storage,idx_name_bucket_level_unique,i,supabase_storage_admin,false,false,0
storage,idx_objects_bucket_id_name,i,supabase_storage_admin,false,false,0
storage,idx_objects_lower_name,i,supabase_storage_admin,false,false,0
storage,idx_prefixes_lower_name,i,supabase_storage_admin,false,false,0
storage,migrations,r,supabase_storage_admin,true,false,0
storage,migrations_name_key,i,supabase_storage_admin,false,false,0
storage,migrations_pkey,i,supabase_storage_admin,false,false,0
storage,name_prefix_search,i,supabase_storage_admin,false,false,0
storage,objects,r,supabase_storage_admin,true,false,6
storage,objects_bucket_id_level_idx,i,supabase_storage_admin,false,false,0
storage,objects_pkey,i,supabase_storage_admin,false,false,0
storage,prefixes,r,supabase_storage_admin,true,false,0
storage,prefixes_pkey,i,supabase_storage_admin,false,false,0
storage,s3_multipart_uploads,r,supabase_storage_admin,true,false,0
storage,s3_multipart_uploads_parts,r,supabase_storage_admin,true,false,0
storage,s3_multipart_uploads_parts_pkey,i,supabase_storage_admin,false,false,0
storage,s3_multipart_uploads_pkey,i,supabase_storage_admin,false,false,0
storage,vector_indexes,r,supabase_storage_admin,true,false,0
storage,vector_indexes_name_bucket_id_idx,i,supabase_storage_admin,false,false,0
storage,vector_indexes_pkey,i,supabase_storage_admin,false,false,0
