schema_name,proname,oid,identity_args,prokind,prosecdef,owner,proacl,proconfig,search_path_pinned,search_path_value,rolsuper,rolcreaterole,rolcreatedb,rolbypassrls
public,admin_add_venue_owner,19215,"p_venue_id uuid, p_user_id uuid, p_role text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_add_venue_photo,19505,"p_venue_id uuid, p_image_path text, p_caption text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_clear_moderation_status,19052,"p_user_id uuid, p_reason text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_create_venue_event,19311,"p_venue_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_is_published boolean",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_create_venue_opening_hour,19417,"p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_create_venue_pricing_tier,19449,"p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_create_venue_species_stock,19485,"p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_delete_account,19073,"p_target uuid, p_reason text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_delete_catch,18906,"p_catch_id uuid, p_reason text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_delete_comment,18908,"p_comment_id uuid, p_reason text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_delete_venue_event,19313,p_event_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_delete_venue_opening_hour,19419,p_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_delete_venue_photo,19506,p_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_delete_venue_pricing_tier,19425,p_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
