grantor,grantee,schema_name,routine_name,specific_name,privilege_type,oid,identity_args,prokind
postgres,PUBLIC,public,admin_add_venue_owner,admin_add_venue_owner_19215,EXECUTE,19215,"p_venue_id uuid, p_user_id uuid, p_role text",f
postgres,PUBLIC,public,admin_add_venue_owner,admin_add_venue_owner_19215,EXECUTE,19215,"p_venue_id uuid, p_user_id uuid, p_role text",f
postgres,anon,public,admin_add_venue_owner,admin_add_venue_owner_19215,EXECUTE,19215,"p_venue_id uuid, p_user_id uuid, p_role text",f
postgres,anon,public,admin_add_venue_owner,admin_add_venue_owner_19215,EXECUTE,19215,"p_venue_id uuid, p_user_id uuid, p_role text",f
postgres,authenticated,public,admin_add_venue_owner,admin_add_venue_owner_19215,EXECUTE,19215,"p_venue_id uuid, p_user_id uuid, p_role text",f
postgres,authenticated,public,admin_add_venue_owner,admin_add_venue_owner_19215,EXECUTE,19215,"p_venue_id uuid, p_user_id uuid, p_role text",f
postgres,service_role,public,admin_add_venue_owner,admin_add_venue_owner_19215,EXECUTE,19215,"p_venue_id uuid, p_user_id uuid, p_role text",f
postgres,service_role,public,admin_add_venue_owner,admin_add_venue_owner_19215,EXECUTE,19215,"p_venue_id uuid, p_user_id uuid, p_role text",f
postgres,PUBLIC,public,admin_add_venue_photo,admin_add_venue_photo_19505,EXECUTE,19505,"p_venue_id uuid, p_image_path text, p_caption text",f
postgres,PUBLIC,public,admin_add_venue_photo,admin_add_venue_photo_19505,EXECUTE,19505,"p_venue_id uuid, p_image_path text, p_caption text",f
postgres,anon,public,admin_add_venue_photo,admin_add_venue_photo_19505,EXECUTE,19505,"p_venue_id uuid, p_image_path text, p_caption text",f
postgres,anon,public,admin_add_venue_photo,admin_add_venue_photo_19505,EXECUTE,19505,"p_venue_id uuid, p_image_path text, p_caption text",f
postgres,authenticated,public,admin_add_venue_photo,admin_add_venue_photo_19505,EXECUTE,19505,"p_venue_id uuid, p_image_path text, p_caption text",f
postgres,authenticated,public,admin_add_venue_photo,admin_add_venue_photo_19505,EXECUTE,19505,"p_venue_id uuid, p_image_path text, p_caption text",f
postgres,service_role,public,admin_add_venue_photo,admin_add_venue_photo_19505,EXECUTE,19505,"p_venue_id uuid, p_image_path text, p_caption text",f
postgres,service_role,public,admin_add_venue_photo,admin_add_venue_photo_19505,EXECUTE,19505,"p_venue_id uuid, p_image_path text, p_caption text",f
postgres,PUBLIC,public,admin_clear_moderation_status,admin_clear_moderation_status_19049,EXECUTE,19049,"p_user_id uuid, p_reason text",f
postgres,PUBLIC,public,admin_clear_moderation_status,admin_clear_moderation_status_19049,EXECUTE,19049,"p_user_id uuid, p_reason text",f
postgres,anon,public,admin_clear_moderation_status,admin_clear_moderation_status_19049,EXECUTE,19049,"p_user_id uuid, p_reason text",f
postgres,anon,public,admin_clear_moderation_status,admin_clear_moderation_status_19049,EXECUTE,19049,"p_user_id uuid, p_reason text",f
postgres,authenticated,public,admin_clear_moderation_status,admin_clear_moderation_status_19049,EXECUTE,19049,"p_user_id uuid, p_reason text",f
postgres,authenticated,public,admin_clear_moderation_status,admin_clear_moderation_status_19049,EXECUTE,19049,"p_user_id uuid, p_reason text",f
postgres,service_role,public,admin_clear_moderation_status,admin_clear_moderation_status_19049,EXECUTE,19049,"p_user_id uuid, p_reason text",f
postgres,service_role,public,admin_clear_moderation_status,admin_clear_moderation_status_19049,EXECUTE,19049,"p_user_id uuid, p_reason text",f
postgres,PUBLIC,public,admin_create_venue_event,admin_create_venue_event_19311,EXECUTE,19311,"p_venue_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_is_published boolean",f
postgres,PUBLIC,public,admin_create_venue_event,admin_create_venue_event_19311,EXECUTE,19311,"p_venue_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_is_published boolean",f
postgres,anon,public,admin_create_venue_event,admin_create_venue_event_19311,EXECUTE,19311,"p_venue_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_is_published boolean",f
postgres,anon,public,admin_create_venue_event,admin_create_venue_event_19311,EXECUTE,19311,"p_venue_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_is_published boolean",f
postgres,authenticated,public,admin_create_venue_event,admin_create_venue_event_19311,EXECUTE,19311,"p_venue_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_is_published boolean",f
postgres,authenticated,public,admin_create_venue_event,admin_create_venue_event_19311,EXECUTE,19311,"p_venue_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_is_published boolean",f
postgres,service_role,public,admin_create_venue_event,admin_create_venue_event_19311,EXECUTE,19311,"p_venue_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_is_published boolean",f
postgres,service_role,public,admin_create_venue_event,admin_create_venue_event_19311,EXECUTE,19311,"p_venue_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_is_published boolean",f
postgres,PUBLIC,public,admin_create_venue_opening_hour,admin_create_venue_opening_hour_19417,EXECUTE,19417,"p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",f
postgres,PUBLIC,public,admin_create_venue_opening_hour,admin_create_venue_opening_hour_19417,EXECUTE,19417,"p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",f
postgres,anon,public,admin_create_venue_opening_hour,admin_create_venue_opening_hour_19417,EXECUTE,19417,"p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",f
postgres,anon,public,admin_create_venue_opening_hour,admin_create_venue_opening_hour_19417,EXECUTE,19417,"p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",f
postgres,authenticated,public,admin_create_venue_opening_hour,admin_create_venue_opening_hour_19417,EXECUTE,19417,"p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",f
