object_type,schema_name,object_name,relkind,grantee,privilege_type,is_grantable
relation,auth,audit_log_entries,r,postgres,DELETE,NO
relation,auth,audit_log_entries,r,postgres,INSERT,NO
relation,auth,audit_log_entries,r,postgres,REFERENCES,NO
relation,auth,audit_log_entries,r,postgres,SELECT,YES
relation,auth,audit_log_entries,r,postgres,TRIGGER,NO
relation,auth,audit_log_entries,r,postgres,TRUNCATE,NO
relation,auth,audit_log_entries,r,postgres,UPDATE,NO
relation,auth,flow_state,r,postgres,DELETE,NO
relation,auth,flow_state,r,postgres,INSERT,NO
relation,auth,flow_state,r,postgres,REFERENCES,NO
relation,auth,flow_state,r,postgres,SELECT,YES
relation,auth,flow_state,r,postgres,TRIGGER,NO
relation,auth,flow_state,r,postgres,TRUNCATE,NO
relation,auth,flow_state,r,postgres,UPDATE,NO
relation,auth,identities,r,postgres,DELETE,NO
relation,auth,identities,r,postgres,INSERT,NO
relation,auth,identities,r,postgres,REFERENCES,NO
relation,auth,identities,r,postgres,SELECT,YES
relation,auth,identities,r,postgres,TRIGGER,NO
relation,auth,identities,r,postgres,TRUNCATE,NO
relation,auth,identities,r,postgres,UPDATE,NO
relation,auth,instances,r,postgres,DELETE,NO
relation,auth,instances,r,postgres,INSERT,NO
relation,auth,instances,r,postgres,REFERENCES,NO
relation,auth,instances,r,postgres,SELECT,YES
relation,auth,instances,r,postgres,TRIGGER,NO
relation,auth,instances,r,postgres,TRUNCATE,NO
relation,auth,instances,r,postgres,UPDATE,NO
relation,auth,mfa_amr_claims,r,postgres,DELETE,NO
relation,auth,mfa_amr_claims,r,postgres,INSERT,NO
relation,auth,mfa_amr_claims,r,postgres,REFERENCES,NO
relation,auth,mfa_amr_claims,r,postgres,SELECT,YES
relation,auth,mfa_amr_claims,r,postgres,TRIGGER,NO
relation,auth,mfa_amr_claims,r,postgres,TRUNCATE,NO
relation,auth,mfa_amr_claims,r,postgres,UPDATE,NO
relation,auth,mfa_challenges,r,postgres,DELETE,NO
relation,auth,mfa_challenges,r,postgres,INSERT,NO
relation,auth,mfa_challenges,r,postgres,REFERENCES,NO
relation,auth,mfa_challenges,r,postgres,SELECT,YES
relation,auth,mfa_challenges,r,postgres,TRIGGER,NO
relation,auth,mfa_challenges,r,postgres,TRUNCATE,NO
relation,auth,mfa_challenges,r,postgres,UPDATE,NO
relation,auth,mfa_factors,r,postgres,DELETE,NO
relation,auth,mfa_factors,r,postgres,INSERT,NO
relation,auth,mfa_factors,r,postgres,REFERENCES,NO
relation,auth,mfa_factors,r,postgres,SELECT,YES
relation,auth,mfa_factors,r,postgres,TRIGGER,NO
relation,auth,mfa_factors,r,postgres,TRUNCATE,NO
relation,auth,mfa_factors,r,postgres,UPDATE,NO
relation,auth,oauth_authorizations,r,postgres,DELETE,NO
