function_name,call_count,callsites,patterns_matched,notes,used_in_app
admin_add_venue_owner,1,src/pages/AdminVenueEdit.tsx:802,supabase.rpc,,yes
admin_add_venue_photo,0,,,not found in code,no
admin_clear_moderation_status,0,,,not found in code,no
admin_create_venue_event,1,src/pages/AdminVenueEdit.tsx:905,supabase.rpc,,yes
admin_create_venue_opening_hour,0,,,not found in code,no
admin_create_venue_pricing_tier,0,,,not found in code,no
admin_create_venue_species_stock,0,,,not found in code,no
admin_delete_account,0,,,not found in code,no
admin_delete_catch,1,src/pages/AdminReports.tsx:610,supabase.rpc,,yes
admin_delete_comment,1,src/pages/AdminReports.tsx:616,supabase.rpc,,yes
admin_delete_venue_event,1,src/pages/AdminVenueEdit.tsx:952,supabase.rpc,,yes
admin_delete_venue_opening_hour,0,,,not found in code,no
admin_delete_venue_photo,0,,,not found in code,no
admin_delete_venue_pricing_tier,0,,,not found in code,no
admin_delete_venue_species_stock,0,,,not found in code,no
admin_get_venue_by_slug,2,"src/pages/AdminVenueEdit.tsx:463, src/pages/AdminVenueEdit.tsx:712",supabase.rpc,,yes
admin_get_venue_events,3,"src/pages/AdminVenueEdit.tsx:545, src/pages/AdminVenueEdit.tsx:924, src/pages/AdminVenueEdit.tsx:961",supabase.rpc,,yes
admin_get_venues,1,src/pages/AdminVenuesList.tsx:80,supabase.rpc,,yes
admin_list_moderation_log,1,src/pages/AdminUserModeration.tsx:164,supabase.rpc,,yes
admin_list_reports,0,,,not found in code,no
admin_remove_venue_owner,1,src/pages/AdminVenueEdit.tsx:837,supabase.rpc,,yes
admin_restore_catch,1,src/pages/AdminReports.tsx:650,supabase.rpc,,yes
admin_restore_comment,1,src/pages/AdminReports.tsx:660,supabase.rpc,,yes
admin_set_venue_photo_primary,0,,,not found in code,no
admin_update_report_status,0,,,not found in code,no
admin_update_venue_booking,0,,,not found in code,no
admin_update_venue_event,1,src/pages/AdminVenueEdit.tsx:885,supabase.rpc,,yes
admin_update_venue_metadata,1,src/pages/AdminVenueEdit.tsx:699,supabase.rpc,,yes
admin_update_venue_opening_hour,0,,,not found in code,no
admin_update_venue_pricing_tier,0,,,not found in code,no
admin_update_venue_rules,0,,,not found in code,no
admin_update_venue_species_stock,0,,,not found in code,no
admin_warn_user,2,"src/pages/AdminReports.tsx:716, src/pages/AdminUserModeration.tsx:418",supabase.rpc,,yes
assert_moderation_allowed,0,,,not found in code,no
block_profile,1,src/pages/profile/hooks/useProfileData.ts:296,supabase.rpc,,yes
check_email_exists,1,src/pages/Auth.tsx:117,supabase.rpc,,yes
