record_type,schema_name,function_name,identity_args,prokind,is_security_definer,owner_role,language,search_path_value,search_path_pinned,proacl_text,grantee,privilege_type
execute_grant,auth,email,,,,,,,,,PUBLIC,EXECUTE
execute_grant,auth,jwt,,,,,,,,,PUBLIC,EXECUTE
execute_grant,auth,jwt,,,,,,,,,postgres,EXECUTE
execute_grant,auth,role,,,,,,,,,PUBLIC,EXECUTE
execute_grant,auth,uid,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,armor,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,armor,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,armor,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,armor,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,citext,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,citext,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,citext,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,citext,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,citext,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,citext,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,citext_cmp,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,citext_cmp,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,citext_eq,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,citext_eq,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,citext_ge,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,citext_ge,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,citext_gt,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,citext_gt,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,citext_hash,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,citext_hash,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,citext_hash_extended,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,citext_hash_extended,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,citext_larger,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,citext_larger,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,citext_le,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,citext_le,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,citext_lt,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,citext_lt,,,,,,,,,postgres,EXECUTE
