schema_name,tablename,cmd,roles,policyname,permissive,qual,with_check,contains_auth_call
public,admin_users,SELECT,{public},admin_users_self_select,PERMISSIVE,(auth.uid() = user_id),,t
public,catch_comments,SELECT,{public},catch_comments_admin_read_all,PERMISSIVE,is_admin(auth.uid()),,t
public,catch_comments,UPDATE,{public},catch_comments_admin_update,PERMISSIVE,is_admin(auth.uid()),is_admin(auth.uid()),t
public,catch_comments,INSERT,{public},catch_comments_insert_viewable,PERMISSIVE,,"(((user_id = auth.uid()) OR is_admin(auth.uid())) AND (EXISTS ( SELECT 1
   FROM catches c
  WHERE ((c.id = catch_comments.catch_id) AND (c.deleted_at IS NULL) AND ((c.user_id = auth.uid()) OR (c.visibility = 'public'::visibility_type) OR ((c.visibility = 'followers'::visibility_type) AND (auth.uid() IS NOT NULL) AND is_following(auth.uid(), c.user_id)) OR is_admin(auth.uid()))))))",t
public,catch_comments,SELECT,{public},catch_comments_public_read,PERMISSIVE,"((deleted_at IS NULL) AND (EXISTS ( SELECT 1
   FROM catches c
  WHERE ((c.id = catch_comments.catch_id) AND (c.deleted_at IS NULL) AND ((auth.uid() = c.user_id) OR (EXISTS ( SELECT 1
           FROM admin_users au
          WHERE (au.user_id = auth.uid()))) OR ((NOT is_blocked_either_way(auth.uid(), c.user_id)) AND (NOT is_blocked_either_way(auth.uid(), catch_comments.user_id)) AND (((c.visibility = 'public'::visibility_type) AND ((NOT (EXISTS ( SELECT 1
           FROM profiles p
          WHERE ((p.id = c.user_id) AND (p.is_private = true))))) OR ((auth.uid() IS NOT NULL) AND (EXISTS ( SELECT 1
           FROM profile_follows pf
          WHERE ((pf.follower_id = auth.uid()) AND (pf.following_id = c.user_id))))))) OR ((c.visibility = 'followers'::visibility_type) AND (auth.uid() IS NOT NULL) AND (EXISTS ( SELECT 1
           FROM profile_follows pf
          WHERE ((pf.follower_id = auth.uid()) AND (pf.following_id = c.user_id))))))))))))",,t
public,catch_comments,UPDATE,{public},catch_comments_update_owner,PERMISSIVE,(auth.uid() = user_id),(auth.uid() = user_id),t
public,catch_reactions,ALL,{public},catch_reactions_owner_all,PERMISSIVE,(auth.uid() = user_id),(auth.uid() = user_id),t
public,catch_reactions,SELECT,{public},catch_reactions_select_viewable,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM catches c
  WHERE ((c.id = catch_reactions.catch_id) AND (c.deleted_at IS NULL) AND ((c.user_id = auth.uid()) OR (c.visibility = 'public'::visibility_type) OR ((c.visibility = 'followers'::visibility_type) AND (auth.uid() IS NOT NULL) AND is_following(auth.uid(), c.user_id)) OR is_admin(auth.uid())))))",,t
public,catch_reactions,INSERT,{authenticated},catch_reactions_write_visible_unblocked_ins,RESTRICTIVE,,"((auth.uid() IS NOT NULL) AND (user_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM catches c
  WHERE ((c.id = catch_reactions.catch_id) AND (c.deleted_at IS NULL) AND (NOT is_blocked_either_way(auth.uid(), c.user_id)) AND (c.user_id <> auth.uid()) AND (is_admin(auth.uid()) OR (c.visibility = 'public'::visibility_type) OR ((c.visibility = 'followers'::visibility_type) AND is_following(auth.uid(), c.user_id)))))))",t
public,catch_reactions,UPDATE,{authenticated},catch_reactions_write_visible_unblocked_upd,RESTRICTIVE,"((auth.uid() IS NOT NULL) AND (user_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM catches c
  WHERE ((c.id = catch_reactions.catch_id) AND (c.deleted_at IS NULL) AND (NOT is_blocked_either_way(auth.uid(), c.user_id)) AND (c.user_id <> auth.uid()) AND (is_admin(auth.uid()) OR (c.visibility = 'public'::visibility_type) OR ((c.visibility = 'followers'::visibility_type) AND is_following(auth.uid(), c.user_id)))))))",,t
